departamento,provincia,municipio,cluster,appareil,variante,trajectoire,annee,acces,possession
La Paz,Abel Iturralde,Ixiamas,C1,refrigerador,centrale,acces_2035,2024,0.6845130066545675,0.2695058517555266
La Paz,Abel Iturralde,Ixiamas,C1,microondas,centrale,acces_2035,2024,0.6845130066545675,0.0347741306467338
La Paz,Abel Iturralde,Ixiamas,C1,calefon,centrale,acces_2035,2024,0.6845130066545675,0.0285992850178745
La Paz,Abel Iturralde,Ixiamas,C1,aire_acondicionado,centrale,acces_2035,2024,0.6845130066545675,0.0143042912873862
La Paz,Abel Iturralde,Ixiamas,C1,lavadora,centrale,acces_2035,2024,0.6845130066545675,0.0900520156046814
La Paz,Abel Iturralde,Ixiamas,C1,radio,centrale,acces_2035,2024,0.6845130066545675,0.390497884803124
La Paz,Abel Iturralde,Ixiamas,C1,television,centrale,acces_2035,2024,0.6845130066545675,0.4152845528455284
La Paz,Abel Iturralde,Ixiamas,C1,telefono,centrale,acces_2035,2024,0.6845130066545675,0.7751383013342011
La Paz,Abel Iturralde,Ixiamas,C1,computadora,centrale,acces_2035,2024,0.6845130066545675,0.1187764399609502
La Paz,Abel Iturralde,Ixiamas,C1,internet,centrale,acces_2035,2024,0.6845130066545675,0.0553205336804425
La Paz,Abel Iturralde,Ixiamas,C1,refrigerador,centrale,acces_2035,2035,1.0,0.588104095348103
La Paz,Abel Iturralde,Ixiamas,C1,microondas,centrale,acces_2035,2035,1.0,0.0766864514812913
La Paz,Abel Iturralde,Ixiamas,C1,calefon,centrale,acces_2035,2035,1.0,0.0293774731002341
La Paz,Abel Iturralde,Ixiamas,C1,aire_acondicionado,centrale,acces_2035,2035,1.0,0.0886685431673337
La Paz,Abel Iturralde,Ixiamas,C1,lavadora,centrale,acces_2035,2035,1.0,0.3360973045851917
La Paz,Abel Iturralde,Ixiamas,C1,radio,centrale,acces_2035,2035,1.0,0.4456435295145153
La Paz,Abel Iturralde,Ixiamas,C1,television,centrale,acces_2035,2035,1.0,0.6646428445052187
La Paz,Abel Iturralde,Ixiamas,C1,telefono,centrale,acces_2035,2035,1.0,0.8980726264535879
La Paz,Abel Iturralde,Ixiamas,C1,computadora,centrale,acces_2035,2035,1.0,0.2563569960474678
La Paz,Abel Iturralde,Ixiamas,C1,internet,centrale,acces_2035,2035,1.0,0.3408245193887115
La Paz,Abel Iturralde,Ixiamas,C1,refrigerador,centrale,acces_2035,2050,1.0,0.588104095348103
La Paz,Abel Iturralde,Ixiamas,C1,microondas,centrale,acces_2035,2050,1.0,0.0766864514812913
La Paz,Abel Iturralde,Ixiamas,C1,calefon,centrale,acces_2035,2050,1.0,0.0293774731002341
La Paz,Abel Iturralde,Ixiamas,C1,aire_acondicionado,centrale,acces_2035,2050,1.0,0.0886685431673337
La Paz,Abel Iturralde,Ixiamas,C1,lavadora,centrale,acces_2035,2050,1.0,0.3360973045851917
La Paz,Abel Iturralde,Ixiamas,C1,radio,centrale,acces_2035,2050,1.0,0.4456435295145153
La Paz,Abel Iturralde,Ixiamas,C1,television,centrale,acces_2035,2050,1.0,0.6646428445052187
La Paz,Abel Iturralde,Ixiamas,C1,telefono,centrale,acces_2035,2050,1.0,0.8980726264535879
La Paz,Abel Iturralde,Ixiamas,C1,computadora,centrale,acces_2035,2050,1.0,0.2563569960474678
La Paz,Abel Iturralde,Ixiamas,C1,internet,centrale,acces_2035,2050,1.0,0.3408245193887115
Beni,Vaca Diez,Riberalta,C3,refrigerador,centrale,acces_2035,2024,0.8934115589242767,0.497653683716565
Beni,Vaca Diez,Riberalta,C3,microondas,centrale,acces_2035,2024,0.8934115589242767,0.0735064122614951
Beni,Vaca Diez,Riberalta,C3,calefon,centrale,acces_2035,2024,0.8934115589242767,0.0261583577712609
Beni,Vaca Diez,Riberalta,C3,aire_acondicionado,centrale,acces_2035,2024,0.8934115589242767,0.0686972161401313
Beni,Vaca Diez,Riberalta,C3,lavadora,centrale,acces_2035,2024,0.8934115589242767,0.2351239346313238
Beni,Vaca Diez,Riberalta,C3,radio,centrale,acces_2035,2024,0.8934115589242767,0.547266403532768
Beni,Vaca Diez,Riberalta,C3,television,centrale,acces_2035,2024,0.8934115589242767,0.6485789123890692
Beni,Vaca Diez,Riberalta,C3,telefono,centrale,acces_2035,2024,0.8934115589242767,0.867712040042232
Beni,Vaca Diez,Riberalta,C3,computadora,centrale,acces_2035,2024,0.8934115589242767,0.2281902824505124
Beni,Vaca Diez,Riberalta,C3,internet,centrale,acces_2035,2024,0.8934115589242767,0.3706485175623875
Beni,Vaca Diez,Riberalta,C3,refrigerador,centrale,acces_2035,2035,1.0,0.588104095348103
Beni,Vaca Diez,Riberalta,C3,microondas,centrale,acces_2035,2035,1.0,0.0766864514812913
Beni,Vaca Diez,Riberalta,C3,calefon,centrale,acces_2035,2035,1.0,0.0293774731002341
Beni,Vaca Diez,Riberalta,C3,aire_acondicionado,centrale,acces_2035,2035,1.0,0.0886685431673337
Beni,Vaca Diez,Riberalta,C3,lavadora,centrale,acces_2035,2035,1.0,0.3360973045851917
Beni,Vaca Diez,Riberalta,C3,radio,centrale,acces_2035,2035,1.0,0.4456435295145153
Beni,Vaca Diez,Riberalta,C3,television,centrale,acces_2035,2035,1.0,0.6646428445052187
Beni,Vaca Diez,Riberalta,C3,telefono,centrale,acces_2035,2035,1.0,0.8980726264535879
Beni,Vaca Diez,Riberalta,C3,computadora,centrale,acces_2035,2035,1.0,0.2563569960474678
Beni,Vaca Diez,Riberalta,C3,internet,centrale,acces_2035,2035,1.0,0.3408245193887115
