annee,hh_acces_rapide,hh_acces_lente,ecart_annuel,est_ancre
2024,72820.0,72820.0,0.0,True
2025,75452.99708779465,74874.02272413054,578.9743636641069,False
2026,78085.99417558928,76928.04544826108,1157.9487273281993,False
2027,80718.99126338391,78982.06817239162,1736.9230909922917,False
2028,83351.98835117856,81036.09089652216,2315.8974546563986,False
2029,85984.98543897319,83090.1136206527,2894.871818320491,False
2030,88617.98252676784,85144.13634478324,3473.846181984598,False
2031,91250.97961456247,87198.15906891378,4052.8205456486903,False
2032,93883.97670235712,89252.18179304432,4631.794909312797,False
2033,96516.97379015175,91306.20451717486,5210.76927297689,False
2034,99149.97087794638,93360.2272413054,5789.743636640982,False
2035,101782.96796574102,95414.24996543594,6368.718000305074,True
2036,103010.70278753432,97066.56598724957,5944.136800284745,False
2037,104238.43760932761,98718.88200906319,5519.555600264415,False
2038,105466.1724311209,100371.19803087681,5094.974400244086,False
2039,106693.90725291417,102023.51405269044,4670.393200223727,False
2040,107921.64207470746,103675.83007450408,4245.812000203383,False
2041,109149.37689650075,105328.1460963177,3821.2308001830534,False
2042,110377.11171829404,106980.46211813133,3396.6496001627092,False
2043,111604.84654008732,108632.77813994496,2972.068400142365,False
2044,112832.58136188061,110285.09416175858,2547.4872001220356,False
2045,114060.3161836739,111937.41018357221,2122.9060001016915,False
2046,115288.05100546719,113589.72620538583,1698.324800081362,False
2047,116515.78582726048,115242.04222719946,1273.7436000610178,False
2048,117743.52064905377,116894.35824901308,849.1624000406882,False
2049,118971.25547084706,118546.67427082671,424.5812000203441,False
2050,120198.99029264033,120198.99029264033,0.0,True
